"Trait.disorder","OMIA.number","Species","Symbol","Name","Other.symbols","Other.descs"
"Cystinuria, type B",2023,"domestic cat","SLC7A9","solute carrier family 7 (amino acid transporter light chain, bo,+ system), member 9","",""
"Autoimmune lymphoproliferative syndrome, FASLG-related",2064,"domestic cat","FASLG","Fas ligand (TNF superfamily, member 6)","",""
"Niemann-Pick disease, type C2",2065,"domestic cat","NPC2","Niemann-Pick disease, type C2","",""
"Coat colour, albinism, oculocutaneous, HPS5-related",2116,"three-spined stickleback, domestic cat, domestic horse","Hps5","","HPS5","Hermansky-Pudlak syndrome 5"
"Verrucous epidermal keratinocytic nevi",2117,"dog, domestic cat","NSDHL","NAD(P) dependent steroid dehydrogenase-like","",""
"Methaemoglobinaemia, CYB5R3-related",2131,"dog, domestic cat","CYB5R3","cytochrome b5 reductase 3","",""
"Coat colour, golden",2159,"tiger, domestic cat","CORIN","corin, serine peptidase","",""
"classical Ehlers-Danlos syndrome (cEDS), COL5A1-related",2165,"domestic cat, dog","COL5A1","collagen, type V, alpha 1","",""
"Cardiomyopathy, hypertrophic, MYH7-related",2212,"domestic cat, pig","MYH7","myosin, heavy chain 7, cardiac muscle, beta","",""
"Hypogonadotropic hypogonadism, TAC3-related",2219,"domestic cat","TAC3","tachykinin 3","",""
"Vitamin D-deficiency rickets, type IB",2221,"domestic cat","CYP2R1","cytochrome P450 family 2 subfamily R member 1","",""
"Hypotrichosis, HR-related",2229,"domestic cat, sheep, bottlenosed dolphin, long-beaked common dolphin, beluga whale, Indo-Pacific finless porpoise, Yangtze River dolphin, minke whale, Omura's baleen whale","HR","NCBI Gene ID: 101090097","",""
"Ichthyosis, ABCA12-related",2238,"taurine cattle, pig, domestic cat","ABCA12","ATP binding cassette subfamily A member 12","",""
"Retinal atrophy, progressive, KIF3B-related",2267,"domestic cat","KIF3B","kinesin family member 3B","",""
"Curly coat, Ural Rex",2273,"domestic cat","LIPH","lipase, member H","",""
"Epidermolysis bullosa, simplex, KRT14-related",2281,"domestic cat","KRT14","keratin 14, type I","",""
"Cerebral dysgenesis, PEA15 related",2303,"domestic cat","PEA15","phosphoprotein enriched in astrocytes 15","",""
"Cardiomyopathy, hypertrophic, ALMS1-related",2316,"domestic cat","ALMS1","Alstrom syndrome 1","",""
